日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
1/28,軟體工程師(台中)_10610,和碩集團_和碩聯合科技股份有限公司,台中市北區,"32,000",Android APP Java 開發，Linux driver porting 開發，軟體內部中英文文件撰寫，專案控管及對外contact window，需對C 語言熟悉，或熟悉Java 語言,台中市北區,經歷不拘,大學,員工6000人,7em9a,www.104.com.tw/job/7em9a?jobsource=jolist_c_relevance
2/14,【台中】Android App Developer / App軟體開發工程師(台中市政府旁),英屬維京群島商瑞嘉耐思科技有限公司台灣分公司,台中市西屯區惠中路一段88號,"55,000",法透過程式語言轉化成產品『 我們在找的不是同事 』我們的團隊聚集了各種迴然不同的開發者無論你是工程師、碼農、程序猿還是魔法師無論你的目標是one piece、世界第一的大劍豪還是金·富力士我們要的是能夠互補、願意互相學習、值得互相依靠的,台中市西屯區,經歷不拘,大學,外商公司,6zvtz,www.104.com.tw/job/6zvtz?jobsource=jolist_c_relevance
2/14,BLN-產品測試/軟體工程師_TE(台南),緯穎科技服務股份有限公司,台南市安定區北園三路8號,"34,000",1.	生產製程測試或產品軟體問題分析解決與失效分析2.	配合產線測試，撰寫程式滿足自動或半自動生產3.	新產品導入，承接RD文件與資料，設計問題追蹤與改善4.	製程與技術優化，ECR/ECO/ECN 審查、導入與控管.	供應商技,台南市安定區,經歷不拘,專科,上市上櫃,6i6hb,www.104.com.tw/job/6i6hb?jobsource=jolist_c_relevance
2/14,《星聚點》資訊軟體工程師,星聚點文創股份有限公司,台北市大同區延平北路二段83號,待遇面議,1. Oracle ERP 日常維運及問題排除2. Oracle ERP 系統與外部系統整合3. 熟悉Oracle Developer 2000 Form/ Report4. 熟悉Oracle XML Publisher. 熟悉MySQL及SQLite6. 其他主管交辦事項備註:本職務試用期間(三個月)以時薪計 ，試用期滿通過考核調整為月薪制,台北市大同區,3年以上,專科,員工600人,7i0cg,www.104.com.tw/job/7i0cg?jobsource=jolist_c_relevance
2/16,PHP軟體工程師 PHP Programmer,開店一二三網路科技股份有限公司_［網路開店第一品牌開店123］,台北市大安區敦化南路一段259號14樓,待遇面議,"，並持續倍速增加中！我們秉持著提供最專業的電商平台顧問，將大舉招募【PHP軟體工程師】一職，開店123期待您跟著我們一起前進，歡迎主動投遞履歷與我們聯絡～→加入人資line,馬上預約面試時間 ,ID: @777zpqoj●工作內容",台北市大安區,1年以上,大學,,77iap,www.104.com.tw/job/77iap?jobsource=jolist_c_relevance
2/14,Android 系統軟體工程師(S4I1),聯詠科技股份有限公司,新竹市創新一路1-2號,待遇面議,【產品線描述】Android 智慧型電視【工作說明】1.Android 新技術架構Survey2.Android 平台系統問題分析與效能優化3.Android Hal /framework 開發與客製化【必要條件】1. 熟悉Android framework / HAL/AIDL/Natvie service  2.具有Android HAL and framework 開發及客製化經驗3.熟悉Android 平台系統分析 4.熟悉嵌入式系統,新竹市,經歷不拘,碩士,上市上櫃,6dxc5,www.104.com.tw/job/6dxc5?jobsource=jolist_c_relevance
2/16,(KG1)  Net 軟體工程師 (中和 環狀線 景平站 ),華威數位財金科技股份有限公司,新北市中和區台北市,待遇面議,- 派駐 金融業 .Net 軟體工程師  (工作地點 : 中和 環狀線 景平站) ------(相關技能)------(1) ASP.NET、C#、MS SQL,新北市中和區,2年以上,專科,,7adaq,www.104.com.tw/job/7adaq?jobsource=jolist_c_relevance
2/15,8101-軟體工程師/資深工程師(新竹縣),兆赫電子股份有限公司,新竹縣湖口鄉文化路2號(303),"34,000",1. 電子產品之人機介面開發。2. 使用MCU/FPGA之數位訊號處理與控制系統開發。,新竹縣湖口鄉,經歷不拘,大學,上市上櫃,7c22u,www.104.com.tw/job/7c22u?jobsource=jolist_c_relevance
2/14,(NR80-B082 ) 軟體工程師(高雄),新漢股份有限公司,高雄市前鎮區一心二路21號13樓之2,"33,000",* Embedded Linux software development for network appliances* SoC bring up and bootloader porting* Linux kernel/driver,高雄市前鎮區,經歷不拘,大學,上市上櫃,6msom,www.104.com.tw/job/6msom?jobsource=jolist_c_relevance
2/16,Android 軟體工程師(英文中等)_薪優福利佳,佩羅娜有限公司,台北市內湖區(依照公司規定分派),待遇面議,『需要技能』1.Android Studio2.Java or Kotlin3.Android生命週期4.曾經使用過第三方套件(Glide/Picasso/Fresco/Gson/okhttp…等等).使用過版本控制軟體6.了解如何,台北市內湖區,1年以上,學歷不拘,員工70人,7f8tl,www.104.com.tw/job/7f8tl?jobsource=jolist_c_relevance
